"Time, s","Air Region [Case 28]","Air Region 2 [Case 28]","Rotor/airRegion [Case 28]","Rotor/airRegion [Case 28]","Rotor/airRegion [Case 28]","Rotor/airRegion [Case 28]","Rotor/airRegion.2 [Case 28]","Rotor/airRegion.2 [Case 28]","Rotor/airRegion.2 [Case 28]","Rotor/airRegion.2 [Case 28]","Rotor/Magnet1 [Case 28]","Rotor/Magnet1 [Case 28]","Rotor/Magnet1 [Case 28]","Rotor/Magnet1 [Case 28]","Rotor/Magnet2 [Case 28]","Rotor/Magnet2 [Case 28]","Rotor/Magnet2 [Case 28]","Rotor/Magnet2 [Case 28]","Rotor/RotorCore [Case 28]","Rotor/Shaft [Case 28]","Stator/Slot1/Wire1 [Case 28]","Stator/Slot1/Wire2 [Case 28]","Stator/Slot1/Wire3 [Case 28]","Stator/Slot1/Wire4 [Case 28]","Stator/Slot2/Wire1 [Case 28]","Stator/Slot2/Wire2 [Case 28]","Stator/Slot2/Wire3 [Case 28]","Stator/Slot2/Wire4 [Case 28]","Stator/Slot3/Wire1 [Case 28]","Stator/Slot3/Wire2 [Case 28]","Stator/Slot3/Wire3 [Case 28]","Stator/Slot3/Wire4 [Case 28]","Stator/Slot4/Wire1 [Case 28]","Stator/Slot4/Wire2 [Case 28]","Stator/Slot4/Wire3 [Case 28]","Stator/Slot4/Wire4 [Case 28]","Stator/Slot5/Wire1 [Case 28]","Stator/Slot5/Wire2 [Case 28]","Stator/Slot5/Wire3 [Case 28]","Stator/Slot5/Wire4 [Case 28]","Stator/Slot6/Wire1 [Case 28]","Stator/Slot6/Wire2 [Case 28]","Stator/Slot6/Wire3 [Case 28]","Stator/Slot6/Wire4 [Case 28]","Stator/Slot7/Wire1 [Case 28]","Stator/Slot7/Wire2 [Case 28]","Stator/Slot7/Wire3 [Case 28]","Stator/Slot7/Wire4 [Case 28]","Stator/Slot8/Wire1 [Case 28]","Stator/Slot8/Wire2 [Case 28]","Stator/Slot8/Wire3 [Case 28]","Stator/Slot8/Wire4 [Case 28]","Stator/Slot9/Wire1 [Case 28]","Stator/Slot9/Wire2 [Case 28]","Stator/Slot9/Wire3 [Case 28]","Stator/Slot9/Wire4 [Case 28]","Stator/Slot10/Wire1 [Case 28]","Stator/Slot10/Wire2 [Case 28]","Stator/Slot10/Wire3 [Case 28]","Stator/Slot10/Wire4 [Case 28]","Stator/Slot11/Wire1 [Case 28]","Stator/Slot11/Wire2 [Case 28]","Stator/Slot11/Wire3 [Case 28]","Stator/Slot11/Wire4 [Case 28]","Stator/Slot12/Wire1 [Case 28]","Stator/Slot12/Wire2 [Case 28]","Stator/Slot12/Wire3 [Case 28]","Stator/Slot12/Wire4 [Case 28]","Stator/StatorCore [Case 28]","Total [Case 28]"
"0.00133680555556","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","181.039217393","182.68546149","186.749924921","208.910084545","182.705532966","188.531283732","214.014561607","318.687475412","32.4706401","34.4415046292","62.72026536","433.53518784","42.7980062388","28.9811737577","41.0877295482","103.81832054","192.499780714","272.342730297","361.667387528","524.567631331","80.7210280731","111.001014665","156.954962684","314.638068955","180.983896751","182.753024288","186.712782662","208.989296653","182.648379524","188.584471186","213.944535422","318.704144512","32.5431967051","34.4754697327","62.6582292876","433.505927956","42.7319912935","28.9928231767","41.1318345922","103.993693011","192.56508443","272.500561927","361.783494216","524.791544277","80.6464159787","110.919290344","156.762498131","314.452512794","0","8915.34407318"
"0.00134027777778","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","182.10818792","183.039873914","185.475329201","216.406504852","183.51706004","189.291582294","217.959283165","344.481742427","34.4779456796","38.3772783482","64.6817694331","370.142029995","46.6058205386","32.5242099831","43.6623876012","100.521354189","182.741938965","262.769726377","354.088569976","518.394294049","79.032465331","111.834258548","158.817585396","324.315145783","182.047936947","183.108766247","185.429558156","216.480570107","183.455918235","189.348201938","217.883044072","344.493130024","34.5293111273","38.4077295536","64.6206555329","370.140521025","46.5393516407","32.53792147","43.697831131","100.688323396","182.72364083","262.828444465","354.077169464","518.474830127","78.9815422596","111.797959713","158.677016387","324.21854608","0","8850.45426393"
"0.00134375","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","182.954369585","183.40517338","184.738740463","236.970958853","184.138435583","189.900611223","219.617736661","359.046557804","37.1785406728","42.4956630034","67.3600027416","303.561665694","49.825474205","36.1551984114","47.0617009941","99.0603695444","172.870579784","252.947860859","345.829520306","510.996967615","77.8298643538","113.171628193","161.099439938","332.916854533","182.918625538","183.44321809","184.704123375","237.016205496","184.102655155","189.938231607","219.575195144","359.04218126","37.23014959","42.5108673432","67.3412524065","303.577809862","49.8269144159","36.1551567557","47.0698269068","99.0905604252","172.924721333","253.02218316","345.920913801","511.118947539","77.8460366087","113.167123258","161.090520439","332.929892397","0","8782.6972263"
"0.00134722222222","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","183.564036488","183.777163452","184.630570285","262.386757315","184.632040325","190.79336203","219.734861317","354.209532048","40.521626264","46.3839304372","69.3726887429","244.676680484","52.7481131034","39.8705474273","51.0716598148","99.4726676629","160.221118262","239.086075511","332.36556811","496.661889072","76.0218755278","113.52734249","162.263189754","337.779097131","183.561287291","183.781871771","184.620306679","262.360378838","184.628515838","190.807383061","219.742960971","354.242372451","40.5490374228","46.4011574237","69.3391451415","244.662909224","52.7169697236","39.8783063642","51.0873006515","99.5490147054","160.588776099","239.579541852","332.994388156","497.436575894","75.988276373","113.274465231","161.939164788","337.381343114","0","8652.88384212"
"0.00135069444444","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","183.919047667","184.047928383","184.923755314","281.855602357","185.082386068","192.150614282","221.632431007","330.987063115","44.3933774353","50.0489499479","70.085686427","197.006255268","55.7285893847","43.7220397516","55.4046829406","101.615441462","143.36448209","218.827833057","310.643412441","471.423862388","73.5597192037","113.057587732","163.030891073","340.455562604","183.94024639","184.031283321","184.936797986","281.772736762","185.102081665","192.146403939","221.673900918","331.030271424","44.3830848713","50.0796379215","70.0191877898","196.986551529","55.6381277193","43.7519686104","55.4333022738","101.796268332","143.868280626","219.542504099","311.53946984","472.569754456","73.4848461439","112.623936243","162.44069937","339.745022271","0","8435.5035659"
"0.00135416666667","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","184.015323072","184.121409411","185.279364208","290.031294595","185.246395416","192.295514849","220.51806483","309.59716019","48.4430975569","54.1461302473","72.2641753569","158.772235491","58.5725882997","47.7305857606","60.3379877004","106.556826034","127.966471399","200.134867982","290.311636565","447.414544576","70.6274648504","112.330960088","164.604805347","343.532384335","184.050529145","184.092361451","185.308843176","289.952381358","185.279881101","192.277264403","220.569462657","309.613839399","48.4199361119","54.1780621467","72.2071840481","158.767924521","58.4990400179","47.7644573243","60.3545635576","106.710013943","128.332645342","200.641936348","290.97988624","448.265110427","70.6538357838","112.015004288","164.17517837","343.002545729","0","8230.96317505"
"0.00135763888889","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","183.859136417","183.959246953","185.471596097","285.399274177","185.106948837","191.592488969","216.349002835","291.566231735","52.6411190442","58.4809128232","75.3635849033","131.194004061","61.7409256685","51.9161987732","65.5616637208","114.416821082","112.632296333","180.983545552","268.879290162","421.549239292","67.0094653629","110.460485758","165.826127107","345.505532176","183.901566439","183.923498514","185.511002162","285.340609284","185.147817336","191.565093153","216.402317787","291.55651268","52.6182687088","58.5082535006","75.3292160479","131.199379286","61.7019273516","51.9428023582","65.5609802189","114.501630616","112.881109691","181.29586162","269.336819448","422.109731786","67.1137279879","110.273791981","165.585779446","345.176245822","0","8015.94908106"
"0.00136111111111","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","183.457772096","183.566287761","185.423803966","270.688871777","184.710366876","190.371562249","210.69418349","279.567802257","57.0118189452","62.8195318512","78.4499905542","112.307638159","65.2560059916","56.2778905186","71.857563863","128.148150873","97.0759249434","160.812658829","245.590916759","392.976092576","62.5510412936","106.987756668","165.572614903","345.145995722","183.50168251","183.528842527","185.466589802","270.631341188","184.753151337","190.339732571","210.745572678","279.542804522","56.9781597527","62.8516718145","78.4114977069","112.323384266","65.2074419583","56.3123055981","71.85659387","128.24807427","97.2677897719","161.049351698","245.955216231","393.423587757","62.6711169264","106.830753608","165.361546737","344.843897858","0","7795.42434988"
"0.00136458333333","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","182.815434705","182.958428059","185.188867217","254.991233377","184.008549428","188.649259598","204.414347595","272.577655108","61.4960342777","67.0221152062","81.0500616971","100.797120928","68.8072048073","60.9507038364","80.0154656308","148.651604666","82.1237123062","140.765072184","221.813820607","363.799080909","57.7113233246","102.643644479","164.101888667","342.63778276","182.858264452","182.921224274","185.231721136","254.940873703","184.050367706","188.614296569","204.459324779","272.541311181","61.4734828777","67.0431568675","81.0220861677","100.803472699","68.7784007249","60.9749770953","80.0128693082","148.710127599","82.328086248","141.012191478","222.218998484","364.288558959","57.8413573277","102.472761121","163.887863617","342.310729367","0","7600.78691511"
"0.00136805555556","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","181.936954936","182.148311998","184.74122574","237.20260853","182.989102664","186.608620755","198.142018676","262.05753581","66.1109749456","71.156295077","83.6452385555","96.1249560721","72.1755554516","66.1024087583","89.8689321852","176.050838206","67.2977734577","119.846622854","196.145960463","332.499484733","52.8991837805","98.1135133435","162.128784127","338.078951195","181.97709098","182.112807868","184.78211414","237.157831982","183.028516663","186.573605603","198.182530829","262.018027397","66.0945543817","71.1812185279","83.6287647386","96.1364571305","72.1577699305","66.1230543738","89.8558961896","176.074557835","67.4666686991","120.045821655","196.499841378","332.924925073","53.0366430711","97.9601783883","161.939664002","337.775350211","0","7408.80574336"
