"Case Range","1",,,"2",,,"3",,,"4",,,"5",,,"6",,,"7",,,"8"
"Time, s","R4_ (Z)",,"Time, s","R4_ (Z)",,"Time, s","R4_ (Z)",,"Time, s","R4_ (Z)",,"Time, s","R4_ (Z)",,"Time, s","R4_ (Z)",,"Time, s","R4_ (Z)",,"Time, s","R4_ (Z)"
"0.004","17674132.0381",,"0.00133333333333","15958470.6759",,"0.0008","15527430.6401",,"0.000571428571429","16250134.1636",,"0.000444444444444","17914194.1713",,"0.000363636363636","20264771.05",,"0.000307692307692","23058067.1669",,"0.000266666666667","26095773.0256"
"0.004125","21494226.2594",,"0.001375","20538910.8857",,"0.000825","20068836.3896",,"0.000589285714286","20453077.4498",,"0.000458333333333","21660494.7624",,"0.000375","23524929.0719",,"0.000317307692308","25847189.5238",,"0.000275","28449037.3716"
"0.00425","25248501.8003",,"0.00141666666667","25614124.0748",,"0.00085","25637967.5726",,"0.000607142857143","26091662.8857",,"0.000472222222222","27147509.7357",,"0.000386363636364","28752633.8873",,"0.000326923076923","30770933.4344",,"0.000283333333333","33059262.8484"
"0.004375","28127038.6872",,"0.00145833333333","29412426.2861",,"0.000875","30052283.3658",,"0.000625","30818589.0589",,"0.000486111111111","31987888.9766",,"0.000397727272727","33587760.9505",,"0.000336538461538","35536091.6673",,"0.000291666666667","37721004.625"
"0.0045","29780581.1697",,"0.0015","30743020.7717",,"0.0009","31556478.2408",,"0.000642857142857","32523418.2001",,"0.0005","33844082.3762",,"0.000409090909091","35549134.0261",,"0.000346153846154","37573052.6041",,"0.0003","39817263.6801"
"0.004625","30750435.138",,"0.00154166666667","30165945.9343",,"0.000925","30390462.5148",,"0.000660714285714","31113478.8543",,"0.000513888888889","32331778.5254",,"0.000420454545455","34005899.9588",,"0.000355769230769","36044293.6528",,"0.000308333333333","38337055.863"
"0.00475","31241084.434",,"0.00158333333333","28085256.6855",,"0.00095","26922804.7621",,"0.000678571428571","26850315.9242",,"0.000527777777778","27587285.022",,"0.000431818181818","28967837.3162",,"0.000365384615385","30838504.1717",,"0.000316666666667","33054687.8314"
"0.004875","30143475.5796",,"0.001625","22549349.1696",,"0.000975","18881353.9353",,"0.000696428571429","17335954.0128",,"0.000541666666667","17179725.4783",,"0.000443181818182","18018589.8609",,"0.000375","19577550.8796",,"0.000325","21641281.7064"
"0.005","31269930.1268",,"0.00166666666667","19981057.5927",,"0.001","13131975.4906",,"0.000714285714286","9188242.2438",,"0.000555555555556","7249996.70138",,"0.000454545454545","6764953.08739",,"0.000384615384615","7341787.56037",,"0.000333333333333","8683188.00459"
"0.005125","34676161.9345",,"0.00170833333333","22585808.8448",,"0.001025","13588649.3207",,"0.000732142857143","7420134.45767",,"0.000569444444444","3474631.23524",,"0.000465909090909","1251424.51057",,"0.000394230769231","350054.299294",,"0.000341666666667","447160.511709"
"0.00525","38977182.436",,"0.00175","28631963.7166",,"0.00105","19152429.736",,"0.00075","11669828.0954",,"0.000583333333333","6157775.33993",,"0.000477272727273","2354784.87757",,"0.000403846153846","-39639.45677",,"0.00035","-1309711.91559"
"0.005375","43172570.7295",,"0.00179166666667","35936879.5353",,"0.001075","27489532.6629",,"0.000767857142857","19881296.3955",,"0.000597222222222","13661985.2597",,"0.000488636363636","8876434.7725",,"0.000413461538462","5388982.44949",,"0.000358333333333","3005237.45884"
"0.0055","46736218.7125",,"0.00183333333333","42974294.1291",,"0.0011","36539454.2641",,"0.000785714285714","29773685.6654",,"0.000611111111111","23668012.901",,"0.0005","18564825.9769",,"0.000423076923077","14513052.9859",,"0.000366666666667","11431258.3262"
"0.005625","49425686.4135",,"0.001875","48723700.2159",,"0.001125","44728785.0576",,"0.000803571428571","39461094.5097",,"0.000625","34128621.9217",,"0.000511363636364","29302364.8927",,"0.000432692307692","25201466.9064",,"0.000375","21861884.9825"
"0.00575","51431547.3569",,"0.00191666666667","53042503.124",,"0.00115","51467455.2203",,"0.000821428571429","48022281.2537",,"0.000638888888889","43901248.038",,"0.000522727272727","39804527.9517",,"0.000442307692308","36081145.1419",,"0.000383333333333","32870788.9026"
