"Case Range","1",,,"2",,,"3",,,"4",,,"5",,,"6",,,"7",,,"8"
"Time, s","R4_ (Z)",,"Time, s","R4_ (Z)",,"Time, s","R4_ (Z)",,"Time, s","R4_ (Z)",,"Time, s","R4_ (Z)",,"Time, s","R4_ (Z)",,"Time, s","R4_ (Z)",,"Time, s","R4_ (Z)"
"0.004125","194390.567247",,"0.001375","-226983.552166",,"0.000825","-1087373.71009",,"0.000589285714286","-2032543.01311",,"0.000458333333333","-2938209.87611",,"0.000375","-3754706.20024",,"0.000317307692308","-4463621.39577",,"0.000275","-5062492.57363"
"0.00425","204048.52847",,"0.00141666666667","88462.0287991",,"0.00085","-475185.086282",,"0.000607142857143","-1201283.78275",,"0.000472222222222","-1958827.27894",,"0.000386363636364","-2684060.15067",,"0.000326923076923","-3345693.30395",,"0.000283333333333","-3930593.54058"
"0.004375","-301717.463337",,"0.00145833333333","-693374.743451",,"0.000875","-1214893.02463",,"0.000625","-1820698.9711",,"0.000486111111111","-2447014.97897",,"0.000397727272727","-3052269.25849",,"0.000336538461538","-3612171.25218",,"0.000291666666667","-4114197.57518"
"0.0045","-1064647.48116",,"0.0015","-2283039.11524",,"0.0009","-3140498.08909",,"0.000642857142857","-3868487.73016",,"0.0005","-4514265.90495",,"0.000409090909091","-5088022.84827",,"0.000346153846154","-5591530.82597",,"0.0003","-6025825.84406"
"0.004625","-1380658.15956",,"0.00154166666667","-3349703.84924",,"0.000925","-4740292.00202",,"0.000660714285714","-5824725.63048",,"0.000513888888889","-6708227.83729",,"0.000420454545455","-7440452.9843",,"0.000355769230769","-8048437.14413",,"0.000308333333333","-8549397.85049"
"0.00475","-1041438.12814",,"0.00158333333333","-3102117.64776",,"0.00095","-4834577.92363",,"0.000678571428571","-6278025.96888",,"0.000527777777778","-7487537.27689",,"0.000431818181818","-8504219.29965",,"0.000365384615385","-9357407.88861",,"0.000316666666667","-10068892.2435"
"0.004875","-699816.698312",,"0.001625","-2422118.6616",,"0.000975","-4148337.37893",,"0.000696428571429","-5729220.97587",,"0.000541666666667","-7135095.47057",,"0.000443181818182","-8369004.45106",,"0.000375","-9442491.9759",,"0.000325","-10368927.7057"
"0.005","-520537.21495",,"0.00166666666667","-1845493.47042",,"0.001","-3360098.72056",,"0.000714285714286","-4878555.50616",,"0.000555555555556","-6314821.82404",,"0.000454545454545","-7635113.54616",,"0.000384615384615","-8828452.30555",,"0.000333333333333","-9894364.73187"
"0.005125","-383351.991647",,"0.00170833333333","-1348498.13123",,"0.001025","-2575313.42277",,"0.000732142857143","-3919259.13613",,"0.000569444444444","-5272396.91113",,"0.000465909090909","-6575611.69936",,"0.000394230769231","-7798487.38387",,"0.000341666666667","-8926756.65695"
"0.00525","-344230.846407",,"0.00175","-1063572.44382",,"0.00105","-2004123.42676",,"0.00075","-3117491.702",,"0.000583333333333","-4309855.32156",,"0.000477272727273","-5513142.35971",,"0.000403846153846","-6684948.29344",,"0.00035","-7800280.77575"
