"Case Range","1",,,"2",,,"3",,,"4"
"Time, s","R4_ (Z)",,"Time, s","R4_ (Z)",,"Time, s","R4_ (Z)",,"Time, s","R4_ (Z)"
"0.009125","-1285250.71118",,"0.00304166666667","-3782850.80222",,"0.001825","-7189997.17327",,"0.00130357142857","-10549774.8502"
"0.00925","-1344750.10283",,"0.00308333333333","-3970158.61188",,"0.00185","-7272884.31491",,"0.00132142857143","-10522558.5832"
"0.009375","-1060084.51706",,"0.003125","-3764063.93059",,"0.001875","-7068444.759",,"0.00133928571429","-10309945.3006"
"0.0095","-632976.540323",,"0.00316666666667","-3230176.05012",,"0.0019","-6527655.50316",,"0.00135714285714","-9796370.86017"
"0.009625","-38368.3429716",,"0.00320833333333","-2356508.11206",,"0.001925","-5609371.31677",,"0.001375","-8910857.52606"
"0.00975","571284.266493",,"0.00325","-1273352.78582",,"0.00195","-4391448.41402",,"0.00139285714286","-7686914.51583"
"0.009875","824989.664338",,"0.00329166666667","-405686.189521",,"0.001975","-3228197.923",,"0.00141071428571","-6402515.7717"
"0.01","675276.001525",,"0.00333333333333","-15796.3752879",,"0.002","-2438430.44582",,"0.00142857142857","-5375278.38002"
"0.010125","282109.628198",,"0.003375","-84669.6981003",,"0.002025","-2111524.23371",,"0.00144642857143","-4757107.11734"
"0.01025","-406715.230057",,"0.00341666666667","-679417.109199",,"0.00205","-2344970.41047",,"0.00146428571429","-4671674.55322"
"0.010375","-1174962.15876",,"0.00345833333333","-1642545.31961",,"0.002075","-3060504.46443",,"0.00148214285714","-5101351.46225"
"0.0105","-1393667.00749",,"0.0035","-2277696.44788",,"0.0021","-3686586.22775",,"0.0015","-5602607.79072"
"0.010625","-612213.381914",,"0.00354166666667","-1765557.76338",,"0.002125","-3381503.5919",,"0.00151785714286","-5401770.72653"
"0.01075","371092.932523",,"0.00358333333333","-532072.247004",,"0.00215","-2229413.74075",,"0.00153571428571","-4370569.56962"
"0.010875","854090.911404",,"0.003625","498921.216723",,"0.002175","-1003823.55473",,"0.00155357142857","-3091370.6535"
"0.011","1713773.7189",,"0.00366666666667","1842964.44468",,"0.0022","511150.304428",,"0.00157142857143","-1516636.39741"
"0.011125","2351972.88682",,"0.00370833333333","3161919.82239",,"0.002225","2122456.61681",,"0.00158928571429","229574.130394"
"0.01125","1968930.80138",,"0.00375","3525561.73909",,"0.00225","3042617.88409",,"0.00160714285714","1510521.83795"
"0.011375","1392856.37864",,"0.00379166666667","3258845.30499",,"0.002275","3271216.69987",,"0.001625","2155812.97734"
"0.0115","867863.937023",,"0.00383333333333","2723893.29505",,"0.0023","3069852.13853",,"0.00164285714286","2310762.32272"
"0.011625","333326.614072",,"0.003875","2016577.17343",,"0.002325","2575380.53385",,"0.00166071428571","2102709.99493"
"0.01175","91407.8857116",,"0.00391666666667","1480614.88142",,"0.00235","2094815.59834",,"0.00167857142857","1791737.30073"
"0.011875","409843.560251",,"0.00395833333333","1562241.62601",,"0.002375","2083617.83089",,"0.00169642857143","1798076.62484"
"0.012","1283276.20848",,"0.004","2488804.16827",,"0.0024","2877846.45799",,"0.00171428571429","2497833.79144"
"0.012125","1932378.61735",,"0.00404166666667","3622421.1053",,"0.002425","4099249.7384",,"0.00173214285714","3710593.82534"
"0.01225","1892845.49029",,"0.00408333333333","4196693.98643",,"0.00245","5037987.26362",,"0.00175","4854688.32441"
"0.012375","1565545.51454",,"0.004125","4207231.97274",,"0.002475","5459818.75644",,"0.00176785714286","5599365.54885"
"0.0125","1240530.78646",,"0.00416666666667","3910482.31748",,"0.0025","5469165.93393",,"0.00178571428571","5927356.18692"
"0.012625","932334.953283",,"0.00420833333333","3431875.00032",,"0.002525","5174226.08046",,"0.00180357142857","5899637.5125"
"0.01275","731165.614887",,"0.00425","2927967.8971",,"0.00255","4721797.98383",,"0.00182142857143","5632293.51589"
"0.012875","700821.028734",,"0.00429166666667","2556805.67103",,"0.002575","4283409.56957",,"0.00183928571429","5282741.15819"
"0.013","771589.719229",,"0.00433333333333","2351060.83673",,"0.0026","3948562.81586",,"0.00185714285714","4962556.1058"
"0.013125","875693.025474",,"0.004375","2276092.68083",,"0.002625","3731249.37949",,"0.001875","4717675.41906"
"0.01325","966052.750272",,"0.00441666666667","2279716.76828",,"0.00265","3607670.82528",,"0.00189285714286","4549780.00766"
"0.013375","983978.119982",,"0.00445833333333","2287176.107",,"0.002675","3523007.1927",,"0.00191071428571","4425188.20376"
"0.0135","909191.610264",,"0.0045","2239006.13432",,"0.0027","3420349.56977",,"0.00192857142857","4297809.80982"
"0.013625","783942.72282",,"0.00454166666667","2137042.41649",,"0.002725","3285511.79368",,"0.00194642857143","4148773.04176"
"0.01375","772339.520282",,"0.00458333333333","2131306.94962",,"0.00275","3231674.26777",,"0.00196428571429","4062593.21459"
"0.013875","1004895.33832",,"0.004625","2411666.23053",,"0.002775","3442047.66784",,"0.00198214285714","4203245.52072"
"0.014","1458875.25177",,"0.00466666666667","3041922.25778",,"0.0028","4023421.68207",,"0.002","4696905.52767"
"0.014125","2221245.80106",,"0.00470833333333","4147755.91954",,"0.002825","5114006.57302",,"0.00201785714286","5687403.8671"
"0.01425","3354256.39165",,"0.00475","5873636.2273",,"0.00285","6882740.22298",,"0.00203571428571","7350890.27927"
"0.014375","4204382.31756",,"0.00479166666667","7657720.56217",,"0.002875","8949252.14012",,"0.00205357142857","9448739.86645"
"0.0145","4151116.31187",,"0.00483333333333","8618114.62298",,"0.0029","10504127.9984",,"0.00207142857143","11301129.5412"
"0.014625","3515581.87684",,"0.004875","8619730.07499",,"0.002925","11175616.1648",,"0.00208928571429","12441348.0731"
"0.01475","2806331.17217",,"0.00491666666667","8062089.94929",,"0.00295","11134687.8293",,"0.00210714285714","12865335.221"
"0.014875","2341376.19166",,"0.00495833333333","7433562.29098",,"0.002975","10789967.4754",,"0.002125","12863881.9846"
"0.015","2012155.06274",,"0.005","6870202.09241",,"0.003","10366998.7908",,"0.00214285714286","12672749.0476"
"0.015125","2015369.5923",,"0.00504166666667","6655026.36622",,"0.003025","10174786.6436",,"0.00216071428571","12596515.0467"
"0.01525","2980195.97226",,"0.00508333333333","7573363.09935",,"0.00305","10949762.6813",,"0.00217857142857","13293114.2005"
"0.015375","3617286.15587",,"0.005125","8698221.30092",,"0.003075","12178914.0043",,"0.00219642857143","14530555.9634"
"0.0155","3410638.29942",,"0.00516666666667","9089953.2477",,"0.0031","12978201.1171",,"0.00221428571429","15576901.1894"
"0.015625","3244651.22357",,"0.00520833333333","9148336.43923",,"0.003125","13388325.1812",,"0.00223214285714","16282791.9714"
"0.01575","2822359.72493",,"0.00525","8787186.91876",,"0.00315","13334344.2676",,"0.00225","16541241.6332"
"0.015875","1793919.33516",,"0.00529166666667","7621496.15979",,"0.003175","12484296.1019",,"0.00226785714286","16058310.7328"
"0.016","749235.850246",,"0.00533333333333","5988060.51291",,"0.0032","10982699.0339",,"0.00228571428571","14860180.029"
"0.016125","243054.480191",,"0.005375","4583097.95796",,"0.003225","9405880.86939",,"0.00230357142857","13388012.6071"
"0.01625","240395.111235",,"0.00541666666667","3731546.15771",,"0.00325","8183238.35785",,"0.00232142857143","12077550.9532"
"0.016375","456902.299435",,"0.00545833333333","3351324.82565",,"0.003275","7397458.3833",,"0.00233928571429","11106540.665"
"0.0165","869963.407001",,"0.0055","3427141.93653",,"0.0033","7094561.10758",,"0.00235714285714","10573268.4003"
"0.016625","1285251.0307",,"0.00554166666667","3782551.32027",,"0.003325","7173562.92982",,"0.002375","10442530.7726"
"0.01675","1344750.89014",,"0.00558333333333","3969897.87189",,"0.00335","7257846.23801",,"0.00239285714286","10421890.2477"
"0.016875","1060084.48067",,"0.005625","3763898.16737",,"0.003375","7054625.97625",,"0.00241071428571","10215476.0709"
"0.017","632977.531296",,"0.00566666666667","3230033.44448",,"0.0034","6514981.3862",,"0.00242857142857","9707733.22834"
"0.017125","38368.0465255",,"0.00570833333333","2356356.07527",,"0.003425","5597773.8918",,"0.00244642857143","8827767.55907"
"0.01725","-571284.597302",,"0.00575","1273208.75949",,"0.00345","4380820.50363",,"0.00246428571429","7609056.58142"
"0.017375","-824990.998781",,"0.00579166666667","405552.10095",,"0.003475","3218445.76579",,"0.00248214285714","6329565.60561"
"0.0175","-675275.913082",,"0.00583333333333","15659.5763282",,"0.0035","2429519.95692",,"0.0025","5306901.8805"
"0.017625","-282109.410727",,"0.005875","84445.9194647",,"0.003525","2103338.5011",,"0.00251785714286","4692950.45725"
"0.01775","406714.410061",,"0.00591666666667","679273.332275",,"0.00355","2337430.43164",,"0.00253571428571","4611372.82614"
"0.017875","1174962.33618",,"0.00595833333333","1642464.11144",,"0.003575","3053565.62609",,"0.00255357142857","5044696.50973"
"0.018","1393666.32987",,"0.006","2277609.45053",,"0.0036","3680204.07183",,"0.00257142857143","5549407.7148"
"0.018125","612214.529911",,"0.00604166666667","1765523.04224",,"0.003625","3375665.83415",,"0.00258928571429","5351832.62063"
"0.01825","-371091.831474",,"0.00608333333333","532068.381898",,"0.00365","2224063.47856",,"0.00260714285714","4323805.64229"
"0.018375","-854087.995809",,"0.006125","-498911.776868",,"0.003675","998931.645791",,"0.002625","3047587.96702"
"0.0185","-1713773.78653",,"0.00616666666667","-1842978.33713",,"0.0037","-515619.998403",,"0.00264285714286","1475575.20793"
"0.018625","-2351973.40092",,"0.00620833333333","-3161919.79104",,"0.003725","-2126560.48391",,"0.00266071428571","-268105.572058"
"0.01875","-1968931.46256",,"0.00625","-3525568.08333",,"0.00375","-3046390.97702",,"0.00267857142857","-1546639.62744"
"0.018875","-1392857.02037",,"0.00629166666667","-3258860.17433",,"0.003775","-3274665.09699",,"0.00269642857143","-2189723.66778"
"0.019","-867862.694576",,"0.00633333333333","-2723918.24477",,"0.0038","-3073016.15087",,"0.00271428571429","-2342576.33269"
"0.019125","-333327.198825",,"0.006375","-2016592.88633",,"0.003825","-2578303.82354",,"0.00273214285714","-2132560.55906"
"0.01925","-91408.2396578",,"0.00641666666667","-1480621.10955",,"0.00385","-2097480.21829",,"0.00275","-1819757.15988"
"0.019375","-409843.256011",,"0.00645833333333","-1562245.46949",,"0.003875","-2086079.15064",,"0.00276785714286","-1824409.10076"
"0.0195","-1283276.46173",,"0.0065","-2488827.01012",,"0.0039","-2880105.89289",,"0.00278571428571","-2522588.75765"
"0.019625","-1932379.34212",,"0.00654166666667","-3622425.21648",,"0.003925","-4101341.7362",,"0.00280357142857","-3733835.63013"
"0.01975","-1892845.7809",,"0.00658333333333","-4196700.92272",,"0.00395","-5039944.16011",,"0.00282142857143","-4876533.16753"
"0.019875","-1565545.5513",,"0.006625","-4207257.58456",,"0.003975","-5461534.03553",,"0.00283928571429","-5619907.24905"
"0.02","-1240530.98089",,"0.00666666666667","-3910489.12885",,"0.004","-5470754.80185",,"0.00285714285714","-5946658.87572"
"0.020125","-932335.563781",,"0.00670833333333","-3431863.14893",,"0.004025","-5175696.42133",,"0.002875","-5917748.47675"
"0.02025","-731165.112386",,"0.00675","-2927943.53101",,"0.00405","-4723117.73894",,"0.00289285714286","-5649286.80001"
"0.020375","-700821.004265",,"0.00679166666667","-2556804.31317",,"0.004075","-4284599.61952",,"0.00291071428571","-5298659.83793"
"0.0205","-771590.090193",,"0.00683333333333","-2351051.86345",,"0.0041","-3949659.15602",,"0.00292857142857","-4977494.90892"
"0.020625","-875693.474567",,"0.006875","-2276119.71872",,"0.004125","-3732248.77374",,"0.00294642857143","-4731702.56836"
