"Case Range","1",,,"2",,,"3",,,"4"
"Time, s","R4_",,"Time, s","R4_",,"Time, s","R4_",,"Time, s","R4_"
"0.00775","148588.683284",,"0.00258333333333","959871.786871",,"0.00155","2021515.34525",,"0.00110714285714","3052818.55874"
"0.007875","218908.016279",,"0.002625","1266082.7365",,"0.001575","2497450.5215",,"0.001125","3631219.87307"
"0.008","194610.946388",,"0.00266666666667","1382636.56812",,"0.0016","2833497.01687",,"0.00114285714286","4158851.43623"
"0.008125","176129.53905",,"0.00270833333333","1400416.97573",,"0.001625","3013592.46904",,"0.00116071428571","4533321.6596"
"0.00825","133266.368046",,"0.00275","1292006.76319",,"0.00165","2988175.10878",,"0.00117857142857","4670794.08857"
"0.008375","53839.6178157",,"0.00279166666667","971957.429586",,"0.001675","2619092.49944",,"0.00119642857143","4399149.09903"
"0.0085","9391.46313353",,"0.00283333333333","599992.034039",,"0.0017","2027312.17152",,"0.00121428571429","3768170.29279"
"0.008625","988.3325209",,"0.002875","351476.371844",,"0.001725","1487445.74595",,"0.00123214285714","3060988.64093"
"0.00875","966.817599175",,"0.00291666666667","233007.695348",,"0.00175","1126192.99401",,"0.00125","2493084.99198"
"0.008875","3492.57572575",,"0.00295833333333","187933.42064",,"0.001775","920362.116951",,"0.00126785714286","2109226.60541"
"0.009","12661.870319",,"0.003","196532.432093",,"0.0018","846334.134829",,"0.00128571428571","1910951.7222"
"0.009125","27635.7749045",,"0.00304166666667","239405.63401",,"0.001825","864875.072954",,"0.00130357142857","1862011.3473"
"0.00925","30253.7429975",,"0.00308333333333","263700.92682",,"0.00185","884930.777897",,"0.00132142857143","1852416.52077"
"0.009375","18800.8257368",,"0.003125","237033.605787",,"0.001875","835879.506234",,"0.00133928571429","1778314.88325"
"0.0095","6703.03009902",,"0.00316666666667","174561.444277",,"0.0019","712870.090936",,"0.00135714285714","1605559.39636"
"0.009625","24.6287305901",,"0.00320833333333","92903.8729676",,"0.001925","526410.229106",,"0.001375","1328418.57835"
"0.00975","5460.09838087",,"0.00325","27126.4790161",,"0.00195","322635.024765",,"0.00139285714286","988553.194363"
