"Case Range","1",,,"2",,,"3",,,"4",,,"5",,,"6",,,"7",,,"8"
"Time, s","R4_",,"Time, s","R4_",,"Time, s","R4_",,"Time, s","R4_",,"Time, s","R4_",,"Time, s","R4_",,"Time, s","R4_",,"Time, s","R4_"
"0.00175","15606972.2359",,"0.000583333333333","12302411.3682",,"0.00035","9454580.07593",,"0.00025","7021121.06316",,"0.000194444444444","5030850.12143",,"0.000159090909091","3471575.14106",,"0.000134615384615","2292848.3222",,"0.000116666666667","1430675.73392"
"0.001875","13090324.4159",,"0.000625","9927019.20835",,"0.000375","7307678.86312",,"0.000267857142857","5187729.11478",,"0.000208333333333","3530975.95786",,"0.000170454545455","2285644.51225",,"0.000144230769231","1385024.93019",,"0.000125","762117.895254"
"0.002","10621074.335",,"0.000666666666667","7586255.88081",,"0.0004","5193174.30194",,"0.000285714285714","3376303.67066",,"0.000222222222222","2052807.72741",,"0.000181818181818","1135500.56889",,"0.000153846153846","539980.561984",,"0.000133333333333","191484.31636"
"0.002125","8200534.92697",,"0.000708333333333","5242398.28082",,"0.000425","3118189.93176",,"0.000303571428571","1667722.75512",,"0.000236111111111","749716.297764",,"0.000193181818182","237232.29597",,"0.000163461538462","22809.5364923",,"0.000141666666667","21609.4704446"
"0.00225","6176618.3443",,"0.00075","3391679.48413",,"0.00045","1580275.482",,"0.000321428571429","538835.855937",,"0.00025","73705.7208421",,"0.000204545454545","18085.431289",,"0.000173076923077","239891.292827",,"0.00015","641284.644444"
"0.002375","4711043.67176",,"0.000791666666667","2295547.1956",,"0.000475","777970.076699",,"0.000339285714286","93246.0870152",,"0.000263888888889","42641.8474131",,"0.000215909090909","428807.146525",,"0.000182692307692","1092675.38632",,"0.000158333333333","1918166.74961"
"0.0025","3456078.68581",,"0.000833333333333","1556443.46227",,"0.0005","361093.515766",,"0.000357142857143","166.439920478",,"0.000277777777778","323974.830756",,"0.000227272727273","1127652.86225",,"0.000192307692308","2230753.81053",,"0.000166666666667","3495888.16637"
"0.002625","2264914.04619",,"0.000875","885347.6603",,"0.000525","92825.8602891",,"0.000375","106149.617851",,"0.000291666666667","831892.402556",,"0.000238636363636","2072293.63828",,"0.000201923076923","3633211.30189",,"0.000175","5360431.95383"
"0.00275","1353887.0522",,"0.000916666666667","432835.052502",,"0.00055","2591.85702717",,"0.000392857142857","335034.382703",,"0.000305555555556","1398322.71927",,"0.00025","3016846.41406",,"0.000211538461538","4992185.99016",,"0.000183333333333","7155915.58579"
"0.002875","726011.21451",,"0.000958333333333","184992.169539",,"0.000575","17073.0760176",,"0.000410714285714","555891.29256",,"0.000319444444444","1839645.39094",,"0.000261363636364","3729009.37958",,"0.000221153846154","6031211.66169",,"0.000191666666667","8567502.31675"
"0.003","242768.330151",,"0.001","21313.0518408",,"0.0006","126014.938585",,"0.000428571428571","877414.100708",,"0.000333333333333","2362721.53241",,"0.000272727272727","4483897.59629",,"0.000230769230769","7065172.24652",,"0.0002","9927034.22818"
"0.003125","6650.36123499",,"0.00104166666667","54061.3358505",,"0.000625","463429.288202",,"0.000446428571429","1496966.55315",,"0.000347222222222","3253693.51495",,"0.000284090909091","5663314.15171",,"0.000240384615385","8566642.46155",,"0.000208333333333","11786683.7053"
"0.00325","163807.035272",,"0.00108333333333","593494.341653",,"0.00065","1428646.66339",,"0.000464285714286","2895987.99051",,"0.000361111111111","5074318.62617",,"0.000295454545455","7897568.1974",,"0.00025","11216780.3932",,"0.000216666666667","14860898.3238"
"0.003375","618670.361295",,"0.001125","1391111.13022",,"0.000675","2550482.28617",,"0.000482142857143","4343357.64594",,"0.000375","6856195.25333",,"0.000306818181818","10031842.9388",,"0.000259615384615","13728979.0343",,"0.000225","17778687.8469"
"0.0035","1028291.71935",,"0.00116666666667","1691486.07225",,"0.0007","2783803.71546",,"0.0005","4500120.36665",,"0.000388888888889","6942774.22232",,"0.000318181818182","10085496.5734",,"0.000269230769231","13812354.8643",,"0.000233333333333","17967420.6067"
"0.003625","1523504.68761",,"0.00120833333333","1764925.29642",,"0.000725","2516114.49619",,"0.000517857142857","3853824.69396",,"0.000402777777778","5878728.45716",,"0.000329545454545","8603205.09945",,"0.000278846153846","11954507.8944",,"0.000241666666667","15809272.3627"
"0.00375","2329857.91348",,"0.00125","2110575.26272",,"0.00075","2510661.63819",,"0.000535714285714","3465553.10471",,"0.000416666666667","5039471.76772",,"0.000340909090909","7261968.89887",,"0.000288461538462","10098228.9954",,"0.00025","13462197.2732"
