Number,Input/Output,Automation Name,Category,Units,Current Value,Default Value,Modified,Data Type,Description
1695,i/p,Rotor_Pole_Arc,Dimensions,EDeg,130,130,"",double,Angle of the rotor pole arc
1696,i/p,Rotor_Pole_Tip_Side,Dimensions,mm,2.5,2.5,"",double,Length of the flat side of the pole tip
1697,i/p,Shaft_To_Pole_Min,Dimensions,mm,2.5,2.5,"",double,Minimum distance between shaft and pole
1698,i/p,Wdg_Separator_Low_[%],Dimensions,Percent,10,10,"",double,winding separator (insulation) between coil sides (lower limit percent of coil depth)
1699,i/p,Wdg_Separator_Up_[%],Dimensions,Percent,90,90,"",double,winding separator (insulation) between coil sides (upper limit percent of coil depth)
1700,i/p,Wdg_Separator_Total_[%],Dimensions,Percent,100,100,"",double,winding separator between coil sides (percentage of separator depth)
1701,i/p,Winding_Separators,Dimensions,"",3,3,"",integer,Winding Separators
1702,i/p,Wdg_Separator_Length,Dimensions,mm,10,10,"",double,Wdg Separator Length
1703,i/p,Sync_L_Separator_Radius,Dimensions,mm,0,0,"",double,Inner Radius for L-shaped Wdg Separator
1704,i/p,Sync_L_Separator_Embed,Dimensions,mm,0,0,"",double,The distance that the seperator is embedded into the rotor lamination
1705,i/p,Liner_Rotor_EWdg,Dimensions,mm,1,1,"",double,Liner thickness between rotor end winding and rotor pole
1706,i/p,Rotor_EWdg_Ohang,Dimensions,mm,10,10,"",double,Rotor end winding overhang
1707,i/p,Sync_L_Separator_Width,Dimensions,mm,1,1,"",double,Separator width
1708,i/p,Claw_Pole_Pairs,Dimensions,"",8,8,"",integer,Claw pole motor pole pairs
1709,i/p,Claw_Pole_Length,Dimensions,mm,50,50,"",double,Claw pole motor axial pole length
1710,i/p,Claw_Pole_Depth,Dimensions,mm,10,10,"",double,Claw pole motor radial pole depth
1711,i/p,Claw_Tooth_Depth,Dimensions,mm,5,5,"",double,Claw pole motor tooth tip depth
1712,i/p,Claw_Coil_Length,Dimensions,mm,60,60,"",double,Claw pole motor axial coil length
1713,i/p,Claw_Coil_Depth,Dimensions,mm,10,10,"",double,Claw pole motor radial coil depth
1714,i/p,Claw_Liner_Base,Dimensions,mm,0.5,0.5,"",double,Claw pole motor liner thickness at base of coil
1715,i/p,Claw_Liner_Side,Dimensions,mm,0.5,0.5,"",double,Claw pole motor liner thickness ar side of coil
1716,i/p,Claw_Back_Iron,Dimensions,mm,5,5,"",double,Claw pole motor back iron thickness
1717,i/p,Claw_Pole_Spacing,Dimensions,mm,10,10,"",double,Claw pole motor pole spacing
1718,i/p,Claw_Tooth_Width,Dimensions,mm,3,3,"",double,Claw pole tooth tip width
1719,i/p,Armature_Diameter,Dimensions,mm,110,110,"",double,BPMOR/PMDC/WFC armature diameter
1720,i/p,Back_Iron_Thickness,Dimensions,mm,5,5,"",double,BPMOR/PMDC back iron thickness (back of magnets)
1721,i/p,Fin_Base_Thickness,Dimensions,mm,1.5,1.5,"",double,Fin Base Thickness - Covered Round Axial Fin Housing
1722,i/p,Fin_Cover_Thickness,Dimensions,mm,1.5,1.5,"",double,Fin Cover Thickness - Covered Round Axial Fin Housing
1723,i/p,WJ_Channel-Lam,Dimensions,mm,1,1,"",double,Spacing between housing water jacket spiral groove and stator lamination
1724,i/p,WJ_Channel_Height,Dimensions,mm,3,3,"",double,Housing water jacket spiral groove channel height
1725,i/p,WJ_Channel_Width,Dimensions,mm,10,10,"",double,Housing water jacket spiral groove channel width
1726,i/p,WJ_Channel_Spacing,Dimensions,mm,10,10,"",double,Housing water jacket spiral groove channel spacing
1727,i/p,WJ_Parallel_Paths,Dimensions,"",1,1,"",integer,Total number of parallel paths (channels) in the machine available for fluid to flow down
1728,i/p,WJ_Channel_Number,Dimensions,"",1,1,"",double,"Number of water jacket channels in active, front, and rear flow components (before parallel paths applied)"
1729,i/p,Shaft_Groove_Wall,Dimensions,mm,1.5,1.5,"",double,Spacing between shaft spiral groove channel and lamination
1730,i/p,Shaft_Groove_Height,Dimensions,mm,4,4,"",double,Shaft spiral groove channel height
1731,i/p,Shaft_Groove_Width,Dimensions,mm,10,10,"",double,Shaft spiral groove channel width
1732,i/p,Shaft_Groove_Spacing,Dimensions,mm,10,10,"",double,Shaft spiral groove channel spacing
1733,i/p,Rotor_WJ_Duct_Diameter,Dimensions,mm,5,5,"",double,Rotor Water Jacket Duct Diameter
1734,i/p,Cover_Ins_Length,Dimensions,mm,90,90,"",double,Outer cover isnsulation axial length
1735,i/p,Cover_Ins_Thickness,Dimensions,mm,10,10,"",double,Outer cover insulation thickness
1736,i/p,Cup_Axial_Thickness,Dimensions,mm,5,5,"",double,BPMOR rotor cup axial thickess
1737,i/p,Cup_Radial_Thickness,Dimensions,mm,5,5,"",double,BPMOR rotor cup radial thickess
1738,i/p,Cup_Axial_Length,Dimensions,mm,140,140,"",double,BPMOR rotor cup axial length
1739,i/p,Gap_H-Cup_[Radial],Dimensions,mm,1,1,"",double,Gap between housing and rotor cup (radial direction)
1740,i/p,Gap_H-Cup_[Axial],Dimensions,mm,10,10,"",double,Gap between housing and rotor cup (axial direction)
1741,i/p,Gap_Shaft-Axle,Dimensions,mm,2,2,"",double,Housed BPMOR - gap between rotating shaft and static axle (active section)
1742,i/p,Gap_Shaft-Axle_[F],Dimensions,mm,2,2,"",double,Housed BPMOR - gap between rotating shaft and static axle (front section)
1743,i/p,Gap_Shaft-Axle_[R],Dimensions,mm,2,2,"",double,Housed BPMOR - gap between rotating shaft and static axle (rear section)
1744,i/p,Axle_Dia,Dimensions,mm,35,35,"",double,Axle diameter [active section of motor]
1745,i/p,CornerRoundingRadius_Rotor,Dimensions,mm,0.1,0.1,"",double,The single value radius for corner rounding on any rotor lamination corners.
1746,i/p,CornerRoundingRadius_Magnets,Dimensions,mm,0.1,0.1,"",double,The single value radius for all corner rounding on magnets.
1747,i/p,HousingType,Design_Options,"",9,9,"",integer,Housing Type
1748,i/p,SlotType,Calc_Options,"",0,0,"",integer,"Slot shape (parallel tooth, parallel tooth square base, parallel slot or slotless)"
1749,compatibility,Slot_Area_Calculation,Calc_Options,"",1,1,"",integer,Method of calculating slot and winding areas.
1750,compatibility,Sync_Parallel_Tooth_Radial_Depth,Calc_Options,"",0,0,"",integer,Method of implementation for radial depth of sync parallel tooth rotors
1751,recommended,Sync_Rotor_Parameterisation,Calc_Options,"",1,1,"",integer,Implementation of ratio mode for sync rotors
1752,compatibility,SyncParallelToothTipDepth,Calc_Options,"",1,1,"",integer,How Pole Tip Depth is Calculated for Sync Parallel Tooth
1753,i/p,StatorDuctType,Through_Vent,"",0,0,"",integer,Axial stator cooling duct type
1754,i/p,MountingType,Calc_Options,"",1,1,"",integer,Mounting Type
1755,i/p,RotorDuctType,Through_Vent,"",0,0,"",integer,Axial rotor cooling duct type
1756,i/p,BPMRotor,Design_Options,"",1,1,"",integer,BPM Rotor Type
1757,i/p,Winding_Separator_Type,Design_Options,"",0,0,"",integer,Winding Separator Type
1758,i/p,Top_Bar_Type,Design_Options,"",2,2,"",integer,IM top rotor bar type
1759,i/p,Bottom_Bar_Type,Design_Options,"",0,0,"",integer,IM bottom rotor bar type
1760,i/p,CowlingType,Cowling,"",0,0,"",integer,Fan cowling type
1761,i/p,FeedbackType,Interface_Gaps,"",0,0,"",integer,Feedback cover type
1762,i/p,StatorPottedEWdg,Winding_Design,"",0,0,"",integer,Is stator end-winding to endcap interface filled with potting material
1763,i/p,GeometryParameterisation,Ratios,"",0,0,"",integer,If geometry is parameterised by ratios or dimensions
1764,o/p,HousingVolume_A,Volumes,mm³,283589.339131646,0,yes,double,The volume of the active section of the housing
1765,o/p,HousingVolume_F,Volumes,mm³,173304.596136006,0,yes,double,The volume of the front section of the housing
1766,o/p,HousingVolume_R,Volumes,mm³,173304.596136006,0,yes,double,The volume of the rear section of the housing
1767,o/p,ActiveVolume,Volumes,mm³,11700,0,yes,double,The volume of the active part of the machine
1768,o/p,ActiveLength,Dimensions,mm,90,0,yes,double,"The length of the active part of the machine (stator lam, rotor lam and magnets). Used for the optiSLang export."
1769,i/p,HeatExchanger,Heat_Exchanger,"",False,False,"",boolean,When selected the Heat Exchanger can be connected to the cooling system.
1770,o/p,h_HeatEx_outer_natconv,Heat_Exchanger,W/m²/°C,0,0,"",double,The Heat Exchanger natural convection heat transfer coefficient over the outer Surface
1771,o/p,h_HeatEx_outer_forconv,Heat_Exchanger,W/m²/°C,0,0,"",double,The Heat Exchanger forced convection heat transfer coefficient over the outer Surface
1772,o/p,h_HeatEx_inner_forconv,Heat_Exchanger,W/m²/°C,0,0,"",double,The Heat Exchanger forced convection heat transfer coefficient over the inner Surface
1773,o/p,h_HeatEx_outer_mixed,Heat_Exchanger,W/m²/°C,0,0,"",double,The Heat Exchanger mixed heat transfer coefficient over the outer Surface
1774,o/p,h_HeatEx_inner_mixed,Heat_Exchanger,W/m²/°C,0,0,"",double,The Heat Exchanger mixed heat transfer coefficient over the inner Surface
1775,i/p,Vel_Mult_HeatEx_outer,Heat_Exchanger,"",1,1,"",double,The Heat Exchanger velocity multiplier over the outer Surface
1776,i/p,Notes_HeatEx_outer,Heat_Exchanger,"","","","",OleStr,The Heat Exchanger notes for the outer Surface
1777,i/p,h_Input_HeatEx_outer,Heat_Exchanger,W/m²/°C,0,0,"",double,The Heat Exchanger flow heat transfer coefficient (user input) over the outer Surface
1778,i/p,h_Adjust_HeatEx_outer,Heat_Exchanger,"",1,1,"",double,The Heat Exchanger flow heat transfer coefficient adjustment (user input) over the outer Surface
1779,o/p,Re_HeatEx_outer,Heat_Exchanger,"",0,0,"",double,The Heat Exchanger reynolds number for flow over the outer Surface
1780,o/p,Re_Critical_HeatEx_outer,Heat_Exchanger,"",0,0,"",double,The Heat Exchanger critical reynolds number for flow over the outer Surface
1781,i/p,Calc_Input_h_HeatEx_outer,Heat_Exchanger,"",0,0,"",integer,"The Heat Exchanger calculated or input set value for htc from flow over the outer Surface (0=Calc h, 1=Input h)"
1782,o/p,Area_Dissipation_HeatEx_outer,Heat_Exchanger,mm²,0,0,"",double,The Heat Exchanger dissipation area from the duct outer surface
1783,o/p,h_HeatEx_inner,Heat_Exchanger,W/m²/°C,0,0,"",double,The Heat Exchanger heat transfer coefficient over the inner Surface
1784,i/p,Vel_Mult_HeatEx_inner,Heat_Exchanger,"",1,1,"",double,The Heat Exchanger velocity multiplier over the inner Surface
1785,i/p,Notes_HeatEx_inner,Heat_Exchanger,"","","","",OleStr,The Heat Exchanger notes for the inner Surface
1786,i/p,h_Input_HeatEx_inner,Heat_Exchanger,W/m²/°C,0,0,"",double,The Heat Exchanger flow heat transfer coefficient (user input) over the inner Surface
1787,i/p,h_Adjust_HeatEx_inner,Heat_Exchanger,"",1,1,"",double,The Heat Exchanger flow heat transfer coefficient adjustment (user input) over the inner Surface
1788,o/p,Re_HeatEx_inner,Heat_Exchanger,"",0,0,"",double,The Heat Exchanger reynolds number for flow over the inner Surface
1789,o/p,Re_Critical_HeatEx_inner,Heat_Exchanger,"",0,0,"",double,The Heat Exchanger critical reynolds number for flow over the inner Surface
1790,i/p,Calc_Input_h_HeatEx_inner,Heat_Exchanger,"",0,0,"",integer,"The Heat Exchanger calculated or input set value for htc from flow over the inner Surface (0=Calc h, 1=Input h)"
1791,o/p,Area_Dissipation_HeatEx_inner,Heat_Exchanger,mm²,0,0,"",double,The Heat Exchanger dissipation area from the duct inner surface
1792,o/p,Rt_HeatEx_inner,Heat_Exchanger,°C/W,0,0,"",double,The Heat Exchanger thermal resistance from the duct inner surface to the fluid
1793,o/p,Rt_HeatEx_outer,Heat_Exchanger,°C/W,0,0,"",double,The Heat Exchanger thermal resistance from the duct outer surface to the fluid
1794,i/p,HeatExFlowOption,Heat_Exchanger,"",0,0,"",integer,The option for selecting the duct type of the Heat Exchanger
1795,i/p,HeatExOutletCoupling,Heat_Exchanger,"",0,0,"",integer,The cooling system supplied by the Heat Exchanger
1796,o/p,HeatEx_Dissipation,Heat_Exchanger,Watts,0,0,"",double,The Heat Exchanger dissipation between the fluids
1797,recommended,IncludeHeatExDuctWallFriction,Heat_Exchanger,"",True,True,"",boolean,When enabled the duct wall friction is taken into account in the Heat Exchanger flow
1798,compatibility,HeatExPowerFlowMethod,Heat_Exchanger,"",1,1,"",integer,Method used to determine how much power to reinject into HeatEx_Fluid to account for cooling system dissipation
1799,i/p,HeatEx_Duct_Wall_Roughness,Heat_Exchanger,mm,0.0025,0.0025,"",double,The roughness of the heat exchanger duct
1800,i/p,HeatEx_Duct_Wall_Notes,Heat_Exchanger,"","","","",OleStr,The notes of the heat exchanger ducts
1801,i/p,HeatEx_Inlet_ContExp_Notes,Heat_Exchanger,"","","","",OleStr,The notes of the HeatEx ContExp
1802,i/p,HeatEx_Outlet_ContExp_Notes,Heat_Exchanger,"","","","",OleStr,The notes of the HeatEx ContExp
1803,o/p,HeatEx_Duct_FlowResistance,Heat_Exchanger,kg/m⁷,0,0,"",double,The flow resistance of the HeatEx ducts
1804,o/p,HeatEx_inlet_ContExp_FlowResistance,Heat_Exchanger,kg/m⁷,0,0,"",double,The flow resistance of the ContExp
1805,o/p,HeatEx_Outlet_ContExp_FlowResistance,Heat_Exchanger,kg/m⁷,0,0,"",double,The flow resistance of the ContExp
1806,o/p,HeatEx_Inlet_FlowArea,Heat_Exchanger,mm²,0,0,"",double,The inlet flow area of the heat exchanger ducts
1807,o/p,HeatEx_Outlet_FlowArea,Heat_Exchanger,mm²,0,0,"",double,The outlet flow area of the heat exchanger ducts
1808,o/p,HeatEx_InletFluid_Velocity,Heat_Exchanger,m/s,0,0,"",double,The fluid velocity before entering the HeatEx ducts
1809,o/p,HeatEx_OutletFluid_Velocity,Heat_Exchanger,m/s,0,0,"",double,The fluid velocity before entering the HeatEx ducts
1810,i/p,HeatEx_Duct_Friction_k_Adjustment,Heat_Exchanger,"",1,1,"",double,This is friction k Adjustment factor for the Heat Exchanger duct
1811,o/p,HeatEx_Duct_FrictionFactor,Heat_Exchanger,"",0,0,"",double,This is wall friction factor value for the Heat Exchanger duct
1812,o/p,HeatEx_Duct_k_Wall_Friction,Heat_Exchanger,"",0,0,"",double,This is wall friction k value for the Heat Exchanger duct
1813,i/p,HeatEx_Inlet_k_ContExp_Adjustment,Heat_Exchanger,"",1,1,"",double,This is ContExp k Adjustment factor for the Heat Exchanger duct
1814,o/p,HeatEx_Inlet_k_ContExp,Heat_Exchanger,"",0,0,"",double,This is k value for the Heat Exchanger ContExp
1815,i/p,HeatEx_Outlet_k_ContExp_Adjustment,Heat_Exchanger,"",1,1,"",double,This is ContExp k Adjustment factor for the Heat Exchanger duct
1816,o/p,HeatEx_Outlet_k_ContExp,Heat_Exchanger,"",0,0,"",double,This is k value for the Heat Exchanger ContExp
1817,o/p,HeatEx_HydraulicDiameter_Inner_mm,Heat_Exchanger,"",0,0,"",double,This is hydraulic diameter for the Heat Exchanger
1818,o/p,HeatEx_HydraulicDiameter_Outer_mm,Heat_Exchanger,"",0,0,"",double,This is hydraulic diameter for the Heat Exchanger
1819,o/p,HeatEx_Channel_Correlation_outer,Heat_Exchanger,"",0,0,"",integer,The correlation for the Heat Exchanger duct
1820,o/p,HeatEx_Channel_Correlation_inner,Heat_Exchanger,"",0,0,"",integer,The correlation for the Heat Exchanger duct
1821,o/p,Vel_HeatEx_outer_Calc,Heat_Exchanger,m/s,0,0,"",double,The Heat Exchanger velocity outside the duct
1822,o/p,Vel_HeatEx_inner_Calc,Heat_Exchanger,m/s,0,0,"",double,The Heat Exchanger velocity in the duct
1823,o/p,Vel_HeatEx_outer,Heat_Exchanger,m/s,0,0,"",double,The Heat Exchanger velocity outside the duct
1824,o/p,Vel_HeatEx_inner,Heat_Exchanger,m/s,0,0,"",double,The Heat Exchanger velocity in the duct
1825,o/p,Nu_HeatEx_outer_natConv,Heat_Exchanger,"",0,0,"",double,The Heat Exchanger nusselt number on the duct outer (natural convection)
1826,o/p,Nu_HeatEx_outer_forConv,Heat_Exchanger,"",0,0,"",double,The Heat Exchanger nusselt number on the duct outer (forced convection)
1827,o/p,Nu_HeatEx_inner,Heat_Exchanger,"",0,0,"",double,The Heat Exchanger nusselt number in the duct inner
1828,o/p,HeatEx_outer_Ra,Heat_Exchanger,"",0,0,"",double,The Heat Exchanger Rayleigh number for natural convection on the duct outer
1829,o/p,HeatEx_outer_Gr,Heat_Exchanger,"",0,0,"",double,The Heat Exchanger Grashof number for natural convection on the duct outer
1830,o/p,HeatEx_outer_Pr,Heat_Exchanger,"",0,0,"",double,The Heat Exchanger Prandtl number for natural convection on the duct outer
1831,o/p,HeatEx_outer_WallTemp,Heat_Exchanger,°C,0,0,"",double,The Heat Exchanger wall temperature for natural convection on the duct outer
1832,o/p,HeatEx_outer_FilmTemp,Heat_Exchanger,°C,0,0,"",double,The Heat Exchanger film temperature for natural convection on the duct outer
1833,o/p,HeatEx_inner_WallTemp,Heat_Exchanger,°C,0,0,"",double,The Heat Exchanger wall temperature of the duct inner surface
1834,o/p,HeatEx_inner_FilmTemp,Heat_Exchanger,°C,0,0,"",double,The Heat Exchanger film temperature of the duct inner
1835,o/p,HeatEx_Fluid_Temp,Heat_Exchanger,°C,0,0,"",double,The temperature of fluid being cooled in the Heat Exchanger
1836,i/p,HeatEx_Coolant_Inlet_Temp,Heat_Exchanger,°C,20,20,"",double,The Heat Exchanger coolant inlet temperature
1837,o/p,HeatEx_Coolant_Outlet_Temp,Heat_Exchanger,°C,0,0,"",double,The Heat Exchanger coolant outlet temperature
1838,i/p,HeatEx_Volume_Flow_Rate,Heat_Exchanger,m³/s,6E-6,6E-6,"",double,The Heat Exchanger coolant volume flow rate
1839,o/p,HeatEx_Volume_Flow_Rate_Inner,Heat_Exchanger,m³/s,0,0,"",double,The Heat Exchanger volume flow rate inside the ducts
1840,o/p,HeatEx_Volume_Flow_Rate_Outer,Heat_Exchanger,m³/s,0,0,"",double,The Heat Exchanger volume flow rate outside the duct
1841,o/p,HeatEx_Fluid_Dynamic_Viscosity,Heat_Exchanger,kg/m/s,0,0,"",double,The Heat Exchanger coolant dynamic viscosity
1842,o/p,HeatEx_Fluid_Pr,Heat_Exchanger,"",0,0,"",double,The Heat Exchanger coolant Prandtl number
1843,i/p,HeatEx_Fluid_Conductivity,Heat_Exchanger,W/m/°C,0.61,0.61,"",double,The Heat Exchanger coolant thermal conductivity
1844,i/p,HeatEx_Fluid_Density,Heat_Exchanger,kg/m³,995.7,995.7,"",double,The Heat Exchanger coolant density
1845,i/p,HeatEx_Fluid_Cp,Heat_Exchanger,J/kg/°C,4178,4178,"",double,The Heat Exchanger coolant specific heat capacity
1846,i/p,HeatEx_Fluid_Kinematic_Viscosity,Heat_Exchanger,m²/s,8.02E-7,8.02E-7,"",double,The Heat Exchanger coolant kinematic viscosity
1847,i/p,HeatEx_Duct_Length,Heat_Exchanger,mm,1000,1000,"",double,The total Heat Exchanger duct length (includes all parallel paths)
1848,i/p,HeatEx_Duct_Diameter,Heat_Exchanger,mm,3,3,"",double,The Heat Exchanger duct diameter
1849,i/p,HeatEx_Wall_Thickness,Heat_Exchanger,mm,2,2,"",double,The Heat Exchanger duct wall thickness
1850,i/p,HeatEx_Insulation_Thickness,Heat_Exchanger,mm,0.1,0.1,"",double,The Heat Exchanger duct insulation thickness
1851,i/p,HeatEx_Duct_Parallel_Paths,Heat_Exchanger,"",1,1,"",integer,The Heat Exchanger number of parallel duct paths
1852,o/p,HeatEx_Channel_Flow_Area_Inner,Heat_Exchanger,mm²,0,0,"",double,This is the Heat Exchanger channel flow area
1853,i/p,HeatEx_Channel_Flow_Area_Outer,Heat_Exchanger,mm²,1000000,1000000,"",double,This is the Heat Exchanger flow area of main volume
1854,o/p,HeatEx_Channel_Perimeter,Heat_Exchanger,mm,0,0,"",double,This is the Heat Exchanger channel perimeter
1855,o/p,Rt_HeatEx_DuctWall,Heat_Exchanger,°C/W,0,0,"",double,This is the Heat Exchanger duct wall thermal resistance
1856,o/p,Rt_HeatEx_Insulation,Heat_Exchanger,°C/W,0,0,"",double,This is the Heat Exchanger duct insulation thermal resistance
1857,o/p,Rt_HeatExFluid_Coolant,Heat_Exchanger,°C/W,0,0,"",double,This is the thermal resistance from the internal fluid to the heat exchanger fluid
1858,o/p,Rt_HeatExFluid_DuctWall,Heat_Exchanger,°C/W,0,0,"",double,This is the thermal resistance from the internal fluid to the exterior of duct wall
1859,o/p,HousingWJ_Flow_L1_F,Water_Jacket_Data,m³/s,0,0,"",double,This is flow through the Layer 1 circular duct
1860,o/p,HousingWJ_Re_L1_F,Water_Jacket_Data,"",0,0,"",double,This is Reynolds number for the Layer 1 circular duct
1861,i/p,HousingWJ_Friction_k_Adjustment_L1_F,Water_Jacket_Data,"",1,1,"",double,This is friction k Adjustment factor for the Layer 1 circular duct
1862,o/p,HousingWJ_k_Wall_Friction_L1_F,Water_Jacket_Data,"",0,0,"",double,This is wall friction k value for the Layer 1 circular duct
1863,o/p,HousingWJ_FlowArea_L1_F,Water_Jacket_Data,mm²,0,0,"",double,This is Cross Section Area for the Layer 1 circular duct
1864,o/p,HousingWJ_FlowResistance_L1_F,Water_Jacket_Data,kg/m⁷,0,0,"",double,This is Flow Resistance for the Layer 1 circular duct
1865,o/p,HousingWJ_Velocity_Calc_L1_F,Water_Jacket_Data,m/s,0,0,"",double,This is the calculated Fluid Velocity for the Layer 1 circular duct (front)
1866,o/p,HousingWJ_Velocity_L1_F,Water_Jacket_Data,m/s,0,0,"",double,This is Fluid Velocity for the Layer 1 circular duct (front)
1867,i/p,HousingWJ_h_Input_L1_F,Water_Jacket_Data,W/m²/°C,0,0,"",double,This is input h value for Layer 1 circular duct
1868,i/p,HousingWJ_h_Adjust_L1_F,Water_Jacket_Data,W/m²/°C,1,1,"",double,This is adjust h value for the Layer 1 circular duct
1869,i/p,HousingWJ_Velocity_Multiplier_L1_F,Water_Jacket_Data,"",1,1,"",double,This is velocity multiplier of the Layer 1 circular duct
1870,o/p,HousingWJ_h_L1_F,Water_Jacket_Data,W/m²/°C,0,0,"",double,This is Heat Transfer Coefficient of the Layer 1 circular duct
1871,o/p,HousingWJ_Area_L1_F,Water_Jacket_Data,mm²,0,0,"",double,This is surface area of the Layer 1 circular duct
1872,i/p,HousingWJ_FlowNotes_L1_F,Water_Jacket_Data,"","","","",OleStr,This is Notes for the Layer 1 circular duct
1873,i/p,HousingWJ_HeatTransferNotes_L1_F,Water_Jacket_Data,"","","","",OleStr,This is not for the Layer 1 circular duct heat transfer
1874,o/p,HousingWJ_Flow_L2_F,Water_Jacket_Data,m³/s,0,0,"",double,This is flow through the Layer 2 circular duct
1875,o/p,HousingWJ_Re_L2_F,Water_Jacket_Data,"",0,0,"",double,This is Reynolds number for the Layer 2 circular duct
1876,i/p,HousingWJ_Friction_k_Adjustment_L2_F,Water_Jacket_Data,"",1,1,"",double,This is friction k Adjustment factor for the Layer 2 circular duct
1877,o/p,HousingWJ_k_Wall_Friction_L2_F,Water_Jacket_Data,"",0,0,"",double,This is wall friction k value for the Layer 2 circular duct
1878,o/p,HousingWJ_FlowArea_L2_F,Water_Jacket_Data,mm²,0,0,"",double,This is Cross Section Area for the Layer 2 circular duct
1879,o/p,HousingWJ_FlowResistance_L2_F,Water_Jacket_Data,kg/m⁷,0,0,"",double,This is Flow Resistance for the Layer 2 circular duct
1880,o/p,HousingWJ_Velocity_Calc_L2_F,Water_Jacket_Data,m/s,0,0,"",double,This is the calculated Fluid Velocity for the Layer 2 circular duct (front)
1881,o/p,HousingWJ_Velocity_L2_F,Water_Jacket_Data,m/s,0,0,"",double,This is Fluid Velocity for the Layer 2 circular duct (front)
1882,i/p,HousingWJ_h_Input_L2_F,Water_Jacket_Data,W/m²/°C,0,0,"",double,This is input h value for Layer 2 circular duct
1883,i/p,HousingWJ_h_Adjust_L2_F,Water_Jacket_Data,W/m²/°C,1,1,"",double,This is adjust h value for the Layer 2 circular duct
1884,i/p,HousingWJ_Velocity_Multiplier_L2_F,Water_Jacket_Data,"",1,1,"",double,This is velocity multiplier of the Layer 2 circular duct
1885,o/p,HousingWJ_h_L2_F,Water_Jacket_Data,W/m²/°C,0,0,"",double,This is Heat Transfer Coefficient of the Layer 2 circular duct
1886,o/p,HousingWJ_Area_L2_F,Water_Jacket_Data,mm²,0,0,"",double,This is surface area of the Layer 2 circular duct
1887,i/p,HousingWJ_FlowNotes_L2_F,Water_Jacket_Data,"","","","",OleStr,This is Notes for the Layer 2 circular duct
1888,i/p,HousingWJ_HeatTransferNotes_L2_F,Water_Jacket_Data,"","","","",OleStr,This is not for the Layer 2 circular duct heat transfer
1889,o/p,HousingWJ_Flow_L3_F,Water_Jacket_Data,m³/s,0,0,"",double,This is flow through the Layer 3 circular duct
1890,o/p,HousingWJ_Re_L3_F,Water_Jacket_Data,"",0,0,"",double,This is Reynolds number for the Layer 3 circular duct
1891,i/p,HousingWJ_Friction_k_Adjustment_L3_F,Water_Jacket_Data,"",1,1,"",double,This is friction k Adjustment factor for the Layer 3 circular duct
1892,o/p,HousingWJ_k_Wall_Friction_L3_F,Water_Jacket_Data,"",0,0,"",double,This is wall friction k value for the Layer 3 circular duct
1893,o/p,HousingWJ_FlowArea_L3_F,Water_Jacket_Data,mm²,0,0,"",double,This is Cross Section Area for the Layer 3 circular duct
1894,o/p,HousingWJ_FlowResistance_L3_F,Water_Jacket_Data,kg/m⁷,0,0,"",double,This is Flow Resistance for the Layer 3 circular duct
1895,o/p,HousingWJ_Velocity_Calc_L3_F,Water_Jacket_Data,m/s,0,0,"",double,This is the calculated Fluid Velocity for the Layer 3 circular duct (front)
1896,o/p,HousingWJ_Velocity_L3_F,Water_Jacket_Data,m/s,0,0,"",double,This is Fluid Velocity for the Layer 3 circular duct (front)
1897,i/p,HousingWJ_h_Input_L3_F,Water_Jacket_Data,W/m²/°C,0,0,"",double,This is input h value for Layer 3 circular duct
1898,i/p,HousingWJ_h_Adjust_L3_F,Water_Jacket_Data,W/m²/°C,1,1,"",double,This is adjust h value for the Layer 3 circular duct
1899,i/p,HousingWJ_Velocity_Multiplier_L3_F,Water_Jacket_Data,"",1,1,"",double,This is velocity multiplier of the Layer 3 circular duct
1900,o/p,HousingWJ_h_L3_F,Water_Jacket_Data,W/m²/°C,0,0,"",double,This is Heat Transfer Coefficient of the Layer 3 circular duct
1901,o/p,HousingWJ_Area_L3_F,Water_Jacket_Data,mm²,0,0,"",double,This is surface area of the Layer 3 circular duct
1902,i/p,HousingWJ_FlowNotes_L3_F,Water_Jacket_Data,"","","","",OleStr,This is Notes for the Layer 3 circular duct
1903,i/p,HousingWJ_HeatTransferNotes_L3_F,Water_Jacket_Data,"","","","",OleStr,This is not for the Layer 3 circular duct heat transfer
1904,o/p,HousingWJ_Flow_L4_F,Water_Jacket_Data,m³/s,0,0,"",double,This is flow through the Layer 4 circular duct
1905,o/p,HousingWJ_Re_L4_F,Water_Jacket_Data,"",0,0,"",double,This is Reynolds number for the Layer 4 circular duct
1906,i/p,HousingWJ_Friction_k_Adjustment_L4_F,Water_Jacket_Data,"",1,1,"",double,This is friction k Adjustment factor for the Layer 4 circular duct
1907,o/p,HousingWJ_k_Wall_Friction_L4_F,Water_Jacket_Data,"",0,0,"",double,This is wall friction k value for the Layer 4 circular duct
1908,o/p,HousingWJ_FlowArea_L4_F,Water_Jacket_Data,mm²,0,0,"",double,This is Cross Section Area for the Layer 4 circular duct
1909,o/p,HousingWJ_FlowResistance_L4_F,Water_Jacket_Data,kg/m⁷,0,0,"",double,This is Flow Resistance for the Layer 4 circular duct
1910,o/p,HousingWJ_Velocity_Calc_L4_F,Water_Jacket_Data,m/s,0,0,"",double,This is the calculated Fluid Velocity for the Layer 4 circular duct (front)
