speed,Irms,phase,Lab_AC_W,json_Hyb_W,json_TS_W,ratio,AF
4000,690.025,0,8466.64346441716,8468.75157750641,24511.5560947918,0.999751071563506,2.8943529480657
4000,690.025,18,9656.74206775198,9685.65460632444,23339.3413099188,0.997014911253021,2.40968135438971
4000,690.025,36,11669.4206454365,11626.311302117,22726.8691855658,1.00370791235494,1.95477900040639
4000,690.025,54,14273.8689495129,14354.1974488121,20622.7202359625,0.99440383207869,1.43670311833903
4000,690.025,72,16304.4093402477,16086.3910958935,16789.7085557474,1.01355296182062,1.04372127071021
4000,690.025,90,15660.4967861313,15653.8690813936,16655.9948072313,1.00042339083732,1.06401776587163
4000,920,0,13190.8231295018,13191.0509543917,40021.2709653559,0.999982728829518,3.0339713722379
4000,920,18,14642.8160860078,14593.7144919385,38617.017648807,1.00336457137739,2.64614040997848
4000,920,36,16928.7671963958,17045.5929768,36968.7121645329,0.993146276544139,2.16881350005538
4000,920,54,21090.4440853437,20829.3775517386,33100.7913086813,1.01253357345685,1.58913972472108
4000,920,72,25494.5549410569,25632.6832751564,28526.2149847317,0.994611241725388,1.11288446388989
4000,920,90,25832.7485152685,25831.0069197232,29440.0880378788,1.00006742267348,1.1397189482149
8000,0.1,0,9.80892353362291,9.5548598342381,20.8310195977474,1.02658999752926,2.18014915541756
8000,0.1,18,9.70713176974288,9.5766793438833,20.8233716036138,1.01362188512064,2.17438329674407
8000,0.1,36,9.56704766090895,9.58896042459539,20.8114699851701,0.997714792561847,2.17035727165891
8000,0.1,54,9.56127697327623,9.59501347377669,20.8035362607778,0.996483954859192,2.16816123475326
8000,0.1,72,9.86024499682697,9.59487625011853,20.7942102752272,1.02765733916632,2.16722026768926
8000,0.1,90,9.62761492869915,9.60230500149836,20.7936574970558,1.00263581787882,2.16548604671598
8000,230.075,0,5617.69381438071,5658.748300734,9444.39001035033,0.992744952740173,1.66898923727095
8000,230.075,18,6409.30450471013,6404.84924854228,9405.35062981699,1.00069560671843,1.46847338084618
8000,230.075,36,7034.51764552857,7026.36323566973,8706.51137251162,1.00116054487725,1.23912059204576
8000,230.075,54,7307.22108670088,7271.65413532051,7329.01072118442,1.00489117753932,1.00788769443603
8000,230.075,72,7364.05379539747,7430.06678651122,6581.35057172306,0.991115424260574,0.885772734058199
8000,230.075,90,7664.40585609428,7718.59932521084,6228.4018202201,0.992978846700909,0.806934206297846
8000,460.05,0,17313.7794252665,17422.0183206101,36020.4740587549,0.993787235591668,2.0675258971656
8000,460.05,18,20161.4700848012,20393.7467328679,34873.1848651929,0.988610398515328,1.70999401541988
8000,460.05,36,24166.0853349091,24171.4227935308,34203.425183776,0.999779183101166,1.41503565908955
